no.	title	genre	content	age
65	용왕님의 셰프가 되었습니다, 문백경&카라쿨	스토리, 판타지	인당수에 몸을 던진 심청! 귀차니즘 드래곤의 던전에서 깨어나다?사연 많은 귀염뽀짝 몬스터와 맛있는 공생라이프!	전체연령가
66	삼국지톡컷툰, 무적핑크&이리	에피소드, 시대극	"""유비, 조조, 손권 등 영웅들이 활약하던 후한, 그 난세에 핸드폰이 있었다면?메신저로 소통하고, 개인 방송으로 군사를 모집한다! 이제껏 보지 못한 완전히 새로운 삼국지!"""	12세 이용가
67	제로게임, 즐바센	스토리, 판타지	인생 재건설 서바이벌2015 대학만화 최강자전 수상작!	12세 이용가
68	악마와 계약연애, 장진&움비	스토리, 로맨스	아무것도 원하지 않는 인간 한나.갑자기 나타난 악마와 영혼을 걸고 계약을 하게 되다?!	12세 이용가
69	견우와 선녀, 안수민	스토리, 드라마	죽음이 가까워진 사람들은 '거꾸로' 걸어들어 온다그리고 그게 하필 내 이상형이라니!?	전체연령가
70	열정호구, 솔뱅이	에피소드, 드라마	멀고도 험한 취업 관문을 뚫고 드디어 취업에 성공!?꽃길만 펼쳐질 줄 알았는데...어쩐지 열정페이의 함정에 빠진 것만 같다.	전체연령가
71	오파츠, 성진&부겸	스토리, 판타지	이 세상에 존재할 수 없는 물건인 ‘오파츠’를 소유한 이들. 그들이 살아가는 세상인 경계의 밖(Out), 그곳에서 일어난 수많은 특별한 이야기.	12세 이용가
72	자판귀, 윤정민	에피소드, 스릴러	자판기에서 내가 원하는 것이 나온다!?<2017 네이버 최강자전> 우수상 수상작	전체연령가
73	하우스키퍼, 채용택&유현	스토리, 액션	사상 최악의 바이러스.인간은 포기했지만 A.I만은 포기하지 않는다	15세 이용가
74	문래빗, 이난	스토리, 개그	수 세기 전 용왕에게 몰락한 토끼일족피의 복수를 위해 전학 온 인간 병기 도생원의 해신고 정복기	12세 이용가
75	3cm 헌터, 돌연변이	스토리, 판타지	세상 사람들의 몸이 3cm로 줄어들었다. 이제는 고양이, 개미, 청소기 등 일상의 모든 것이 위협인 상황. 믿을 것은 각자에게 주어진 이능력 하나뿐이다.	15세 이용가
76	어글리 피플즈, 배사과	스토리, 스릴러	내가 이렇게 불행한 이유? 모든 것은 지긋지긋한 외모지상주의 때문이야.	15세 이용가
77	헬58, 장성준	스토리, 액션	약육강식의 섬 헬58에서 벌어지는 권력다툼과 암투, 배신. 주인공 서민은 이 지옥같은 섬에서 과연 희망을 찾고 탈출할 수 있을까?	18세 이용가
78	땅 보고 걷는 아이, 다온	스토리, 드라마	나는 항상 주눅들어있는 아이였다.폭력이 나에게 미친 영향에 대한 이야기.	15세 이용가
